Level,Date and Time,Source,Event ID,Task Category
Information,1/31/2024 3:36:14 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 1 to 3.

Reason Unknown 

BootId: 682"
Information,1/31/2024 3:36:14 PM,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Power Button."
Information,1/31/2024 3:34:33 PM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->20.189.79.72:123)."
Information,1/31/2024 3:34:33 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,1/31/2024 3:33:24 PM,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,1/31/2024 3:33:24 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 0 to 1.

Reason SessionUnlock 

BootId: 682"
Warning,1/31/2024 3:32:54 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Information,1/31/2024 3:32:46 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\zheri\AppData\Local\Packages\AppUp.IntelGraphicsExperience_8j3eq9eme6ctt\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information,1/31/2024 3:32:46 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\zheri\AppData\Local\Packages\AppUp.IntelGraphicsExperience_8j3eq9eme6ctt\SystemAppData\Helium\User.dat was cleared updating 8 keys and creating 1 modified pages.
Information,1/31/2024 3:32:29 PM,Microsoft-Windows-TPM-WMI,1025,None,The TPM was successfully provisioned and is now ready for use.
Information,1/31/2024 3:32:28 PM,Microsoft-Windows-TPM-WMI,1282,None,The TBS device identifier has been generated.
Information,1/31/2024 3:32:27 PM,TPM,18,None,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information,1/31/2024 3:32:27 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
WinSetupMon"
Information,1/31/2024 3:32:26 PM,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:5357/0d226490-24bf-433e-8ff4-87fc33a4bbf2/) to URL group (0xFE00000220000001). Status: 0x0. Process Id 0x379C Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,1/31/2024 3:32:26 PM,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"Create URL group 0xFE00000220000001. Status 0x0. Process Id 0x379C Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,1/31/2024 3:32:26 PM,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://127.0.0.1:28385:127.0.0.1/intel/) to URL group (0xFE00000120000001). Status: 0x0. Process Id 0x2AFC Executable path \Device\HarddiskVolume3\Program Files (x86)\Intel\Driver and Support Assistant\DSAService.exe, User SYSTEM"
Information,1/31/2024 3:32:26 PM,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"Create URL group 0xFE00000120000001. Status 0x0. Process Id 0x2AFC Executable path \Device\HarddiskVolume3\Program Files (x86)\Intel\Driver and Support Assistant\DSAService.exe, User SYSTEM"
Information,1/31/2024 3:32:26 PM,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://127.0.0.1:28390:127.0.0.1/) to URL group (0xFE00000320000001). Status: 0x0. Process Id 0x2AFC Executable path \Device\HarddiskVolume3\Program Files (x86)\Intel\Driver and Support Assistant\DSAService.exe, User SYSTEM"
Information,1/31/2024 3:32:26 PM,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"Create URL group 0xFE00000320000001. Status 0x0. Process Id 0x2AFC Executable path \Device\HarddiskVolume3\Program Files (x86)\Intel\Driver and Support Assistant\DSAService.exe, User SYSTEM"
Error,1/31/2024 3:32:23 PM,Service Control Manager,7034,None,The GameInput Service service terminated unexpectedly.  It has done this 6 time(s).
